Date,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa
1/1/2012,1.8,-0.4,86,4,8,101.24
1/2/2012,0,-7,87,4,8,101.24
1/3/2012,-14.8,-22.2,89,7,4,101.26
1/4/2012,-10.2,-16.3,88,6,4,101.27
1/5/2012,-4.3,-12,88,7,4.8,101.23
1/6/2012,-11.5,-14.4,87,9,6.4,101.27
1/7/2012,-3.7,-6.1,89,7,6.4,101.29
1/8/2012,-6.6,-12.9,85,7,8,101.26
1/9/2012,-1,-5.1,85,9,8,101.23
1/10/2012,-1.4,-7.9,88,15,4,101.2
1/11/2012,-11.6,-19.9,91,9,1.2,101.15
1/12/2012,-5.2,-7.6,89,7,4,100.98
1/13/2012,-4.3,-6.5,88,9,4.8,100.79
1/14/2012,-16.7,-23.4,87,13,4.8,100.58
1/15/2012,-15.4,-22.8,87,20,4.8,100.31
1/16/2012,-8,-13.8,85,22,6.4,100.07
1/17/2012,-3.7,-6,82,13,12.9,99.93
1/18/2012,-10.4,-18,81,13,16.1,99.81
1/19/2012,-6.7,-15,82,15,12.9,99.74
1/20/2012,-15,-23.9,88,15,12.9,99.68
1/21/2012,-11.8,-18.9,87,19,25,99.5
1/22/2012,-8.7,-14.5,85,20,25,99.39
1/23/2012,2.7,-0.9,84,24,19.3,99.32
1/24/2012,1.9,-2.2,79,30,25,99.31
1/25/2012,-4.4,-11.2,77,35,25,99.26
1/26/2012,-3,-14.1,72,39,25,99.26
1/27/2012,0.3,-1.6,71,32,25,99.26
1/28/2012,1.2,-3.7,69,33,25,99.3
1/29/2012,0.2,-7.5,69,32,25,99.26
1/30/2012,-6.9,-15.3,70,32,25,99.21
1/31/2012,-8.2,-12,70,26,25,99.18
2/1/2012,-4.9,-7.5,70,33,25,99.14
2/2/2012,-6.7,-12.1,68,39,24.1,99.14
2/3/2012,-2.9,-7.8,67,44,24.1,99.14
2/4/2012,-5.4,-12.6,66,43,24.1,99.18
2/5/2012,-5.3,-11.4,66,30,24.1,99.19
2/6/2012,3.3,-3.3,56,48,24.1,99.21
2/7/2012,-4.8,-15.4,57,37,24.1,99.27
2/8/2012,-1.8,-12.8,56,33,24.1,99.33
2/9/2012,2.4,-6.2,59,33,24.1,99.41
2/10/2012,1.3,-4,55,24,24.1,99.5
2/11/2012,-10.8,-18.8,57,22,25,99.66
2/12/2012,-12.5,-22.8,57,28,25,99.86
2/13/2012,-3.4,-12.4,57,24,25,100
2/14/2012,1.1,-5.3,54,24,25,100.07
2/15/2012,1.9,0.1,58,26,25,100.15
2/16/2012,3.6,-2.8,54,20,25,100.26
2/17/2012,3,-4.4,59,17,19.3,100.27
2/18/2012,1.5,-5.8,57,28,25,100.35
2/19/2012,-1.6,-9.3,54,20,25,100.43
2/20/2012,-2,-9.7,65,22,12.9,100.53
2/21/2012,2.2,-5.8,54,33,25,100.61
2/22/2012,5.4,-1.4,53,24,25,100.68
2/23/2012,1.9,-1.8,60,22,25,100.76
2/24/2012,1,-2.6,61,19,25,100.85
2/25/2012,-3.3,-7.5,63,19,25,100.95
2/26/2012,-7.1,-16.3,58,26,24.1,101.07
2/27/2012,-5.1,-9.4,56,19,24.1,101.2
2/28/2012,-4.2,-11.8,56,24,24.1,101.29
2/29/2012,-3.1,-11.5,54,22,24.1,101.33
3/1/2012,-3.3,-6.2,52,20,24.1,101.34
3/2/2012,-3.3,-5.7,54,22,24.1,101.34
3/3/2012,5.3,-5.6,50,22,24.1,101.38
3/4/2012,-5.6,-13.5,53,19,24.1,101.44
3/5/2012,-10,-18.6,52,22,24.1,101.51
3/6/2012,-5.3,-15.7,53,22,24.1,101.58
3/7/2012,9.7,-2.7,52,24,25,101.64
3/8/2012,11.7,6.6,50,24,25,101.74
3/9/2012,-1.1,-7.9,49,24,25,101.82
3/10/2012,-2.7,-10.2,52,15,25,101.86
3/11/2012,10.5,-1.3,52,20,25,101.86
3/12/2012,12.4,0.6,55,17,25,101.87
3/13/2012,5.3,3.3,56,13,25,101.88
3/14/2012,1.7,1.3,58,11,25,101.86
3/15/2012,4,0.6,61,15,25,101.89
3/16/2012,3.7,3.2,59,13,25,101.88
3/17/2012,10.2,4.4,59,13,25,101.82
