Date,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa
2012-01-01,1.8,-0.4,86,4,8,101.24
2012-01-02,0,-7,87,4,8,101.24
2012-01-03,-14.8,-22.2,89,7,4,101.26
2012-01-04,-10.2,-16.3,88,6,4,101.27
2012-01-05,-4.3,-12,88,7,4.8,101.23
2012-01-06,-11.5,-14.4,87,9,6.4,101.27
2012-01-07,-3.7,-6.1,89,7,6.4,101.29
2012-01-08,-6.6,-12.9,85,7,8,101.26
2012-01-09,-1,-5.1,85,9,8,101.23
2012-01-10,-1.4,-7.9,88,15,4,101.2
2012-01-11,-11.6,-19.9,91,9,1.2,101.15
2012-01-12,-5.2,-7.6,89,7,4,100.98
2012-01-13,-4.3,-6.5,88,9,4.8,100.79
2012-01-14,-16.7,-23.4,87,13,4.8,100.58
2012-01-15,-15.4,-22.8,87,20,4.8,100.31
2012-01-16,-8,-13.8,85,22,6.4,100.07
2012-01-17,-3.7,-6,82,13,12.9,99.93
2012-01-18,-10.4,-18,81,13,16.1,99.81
2012-01-19,-6.7,-15,82,15,12.9,99.74
2012-01-20,-15,-23.9,88,15,12.9,99.68
2012-01-21,-11.8,-18.9,87,19,25,99.5
2012-01-22,-8.7,-14.5,85,20,25,99.39
2012-01-23,2.7,-0.9,84,24,19.3,99.32
2012-01-24,1.9,-2.2,79,30,25,99.31
2012-01-25,-4.4,-11.2,77,35,25,99.26
2012-01-26,-3,-14.1,72,39,25,99.26
2012-01-27,0.3,-1.6,71,32,25,99.26
2012-01-28,1.2,-3.7,69,33,25,99.3
2012-01-29,0.2,-7.5,69,32,25,99.26
2012-01-30,-6.9,-15.3,70,32,25,99.21
2012-01-31,-8.2,-12,70,26,25,99.18
2012-02-01,-4.9,-7.5,70,33,25,99.14
2012-02-02,-6.7,-12.1,68,39,24.1,99.14
2012-02-03,-2.9,-7.8,67,44,24.1,99.14
2012-02-04,-5.4,-12.6,66,43,24.1,99.18
2012-02-05,-5.3,-11.4,66,30,24.1,99.19
2012-02-06,3.3,-3.3,56,48,24.1,99.21
2012-02-07,-4.8,-15.4,57,37,24.1,99.27
2012-02-08,-1.8,-12.8,56,33,24.1,99.33
2012-02-09,2.4,-6.2,59,33,24.1,99.41
2012-02-10,1.3,-4,55,24,24.1,99.5
2012-02-11,-10.8,-18.8,57,22,25,99.66
2012-02-12,-12.5,-22.8,57,28,25,99.86
2012-02-13,-3.4,-12.4,57,24,25,100
2012-02-14,1.1,-5.3,54,24,25,100.07
2012-02-15,1.9,0.1,58,26,25,100.15
2012-02-16,3.6,-2.8,54,20,25,100.26
2012-02-17,3,-4.4,59,17,19.3,100.27
2012-02-18,1.5,-5.8,57,28,25,100.35
2012-02-19,-1.6,-9.3,54,20,25,100.43
2012-02-20,-2,-9.7,65,22,12.9,100.53
2012-02-21,2.2,-5.8,54,33,25,100.61
2012-02-22,5.4,-1.4,53,24,25,100.68
2012-02-23,1.9,-1.8,60,22,25,100.76
2012-02-24,1,-2.6,61,19,25,100.85
2012-02-25,-3.3,-7.5,63,19,25,100.95
2012-02-26,-7.1,-16.3,58,26,24.1,101.07
2012-02-27,-5.1,-9.4,56,19,24.1,101.2
2012-02-28,-4.2,-11.8,56,24,24.1,101.29
2012-02-29,-3.1,-11.5,54,22,24.1,101.33
2012-03-01,-3.3,-6.2,52,20,24.1,101.34
2012-03-02,-3.3,-5.7,54,22,24.1,101.34
2012-03-03,5.3,-5.6,50,22,24.1,101.38
